gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,TotalServices,Recency_score,Frequency_score,Monetary_score,treatment,contract_score,tenure_norm,charge_norm,persuadability,churn_observed,persuadability_bin
Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,1,4,1,4,4,0,1.0,0.3194444444444444,0.8732631578947369,0.7704859649122807,0,Medium
Male,0,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,0,5,2,5,4,0,1.0,0.6527777777777778,0.888421052631579,0.8735175438596491,0,High
Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),113.25,7895.15,0,6,1,6,4,0,0.0,0.04166666666666663,0.9536842105263158,0.20323684210526316,1,Low
Female,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,0,0,1,0,1,0,0.3,0.2777777777777778,0.17389473684210524,0.2681122807017544,1,Low
Male,0,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,0,4,1,4,4,1,0.0,0.01388888888888884,0.8985263157894737,0.1838719298245614,1,Low
Female,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,1,2,4,2,2,0,1.0,0.8611111111111112,0.46484210526315795,0.8513017543859649,1,High
Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,0,3,3,3,4,0,1.0,0.7083333333333333,0.7583157894736842,0.8641631578947367,0,High
Male,1,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,1,2,5,2,2,1,1.0,0.9861111111111112,0.33389473684210524,0.8626122807017544,0,High
Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,0,0,4,0,1,0,0.3,0.8333333333333334,0.16673684210526316,0.43334736842105265,0,Medium
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,1,0,5,0,1,0,1.0,0.9861111111111112,0.16968421052631577,0.8297701754385965,1,High
Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,0,2,1,2,2,0,0.0,0.19444444444444442,0.5044210526315789,0.1592175438596491,0,Low
Male,0,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,0,3,1,3,2,0,1.0,0.3194444444444444,0.5018947368421053,0.6962122807017543,0,Medium
Female,0,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,0,2,2,2,2,1,1.0,0.5833333333333333,0.46568421052631576,0.7681368421052631,0,Medium
Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,1,3,2,3,4,0,1.0,0.3472222222222222,0.8366315789473684,0.7714929824561403,1,Medium
Male,0,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,1,1,5,1,2,1,1.0,0.9861111111111112,0.2543157894736842,0.8466964912280702,1,High
Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,0,6,1,6,4,1,0.0,0.0,0.76,0.15200000000000002,0,Low
Female,0,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,1,2,3,2,3,0,1.0,0.7638888888888888,0.5448421052631579,0.8381350877192982,1,High
Female,1,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,0,4,1,4,4,1,0.0,0.01388888888888884,0.8113684210526315,0.16644035087719297,0,Low
Male,1,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,0,3,5,3,4,0,1.0,0.9722222222222222,0.8042105263157895,0.9525087719298245,0,High
Female,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,0,4,2,4,3,0,0.3,0.625,0.5570526315789475,0.44891052631578954,0,Medium
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,0,0,5,0,1,1,1.0,0.9861111111111112,0.17010526315789473,0.8298543859649123,0,High
Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,0,0,5,0,2,1,1.0,0.9861111111111112,0.38105263157894737,0.8720438596491229,0,High
Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,0,4,1,4,4,1,0.0,0.0,0.8412631578947369,0.1682526315789474,0,Low
Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,1,0,5,0,3,0,1.0,0.9305555555555556,0.5869473684210527,0.8965561403508773,1,High
Female,0,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,0,1,2,1,3,0,1.0,0.36111111111111116,0.6298947368421053,0.7343122807017545,0,Medium
Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,1,4,2,4,4,1,1.0,0.5277777777777778,0.895578947368421,0.8374491228070176,0,High
Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,1,3,4,3,4,0,1.0,0.8472222222222222,0.824,0.9189666666666667,1,High
Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,0,1,4,1,2,0,0.3,0.8611111111111112,0.41726315789473684,0.4917859649122807,0,Medium
Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,0,3,1,3,3,0,0.0,0.02777777777777779,0.5827368421052632,0.12488070175438598,0,Low
Female,0,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,0,0,3,0,1,0,0.3,0.7638888888888888,0.17473684210526316,0.41411403508771927,0,Medium
Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,0,5,1,5,3,1,0.0,0.125,0.6724210526315789,0.1719842105263158,0,Low
Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,0,4,3,4,3,0,1.0,0.8194444444444444,0.6416842105263159,0.8741701754385965,0,High
Female,0,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,0,1,1,1,3,1,1.0,0.3194444444444444,0.7115789473684211,0.7381491228070176,0,Medium
Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97.0,0,1,5,1,2,0,1.0,0.9722222222222222,0.4147368421052632,0.8746140350877193,0,High
Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,1,1,5,1,3,1,1.0,0.9722222222222222,0.6791578947368422,0.927498245614035,1,High
Male,0,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,0,4,1,4,3,1,0.0,0.2777777777777778,0.671578947368421,0.21764912280701754,1,Low
Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,0,3,1,3,3,0,0.0,0.04166666666666663,0.5402105263157895,0.12054210526315788,0,Low
Female,1,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,0,2,2,2,4,1,1.0,0.4027777777777778,0.76,0.7728333333333334,0,Medium
Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,1,4,3,4,4,1,1.0,0.7916666666666666,0.8345263157894737,0.9044052631578948,1,High
Female,1,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,0,3,2,3,3,1,1.0,0.6527777777777778,0.5852631578947368,0.8128859649122807,0,Medium
Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,1,1,4,1,3,1,1.0,0.8888888888888888,0.6791578947368422,0.902498245614035,0,High
Female,1,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,0,5,1,5,3,1,0.3,0.16666666666666663,0.6303157894736842,0.32606315789473683,0,Low
Male,1,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,1,2,3,2,4,1,1.0,0.75,0.8037894736842105,0.8857578947368421,1,High
Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,0,3,1,3,4,0,0.3,0.125,0.8391578947368421,0.35533157894736844,1,Low
Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,0,5,1,5,4,0,0.3,0.08333333333333337,0.9132631578947369,0.35765263157894744,0,Low
Female,0,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,0,0,2,0,1,0,0.0,0.5277777777777778,0.21010526315789474,0.20035438596491228,0,Low
Female,0,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,0,4,1,4,4,0,0.0,0.0,0.9052631578947369,0.18105263157894738,1,Low
Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,0,3,2,3,4,0,1.0,0.3472222222222222,0.8463157894736842,0.7734298245614035,0,Medium
Male,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,0,2,1,2,3,0,1.0,0.16666666666666663,0.7570526315789474,0.7014105263157895,0,Medium
Male,0,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962.0,0,3,1,3,2,1,0.0,0.0,0.3545263157894737,0.07090526315789474,0,Low
Female,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,0,2,3,2,2,0,0.3,0.75,0.45810526315789474,0.46662105263157894,0,Medium
Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,1,2,4,2,4,0,1.0,0.875,0.7949473684210526,0.9214894736842105,1,High
Female,0,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,0,4,5,4,3,1,1.0,0.9583333333333334,0.6341052631578947,0.9143210526315789,0,High
Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,0,1,2,1,3,0,0.3,0.3472222222222222,0.664421052631579,0.3870508771929825,0,Medium
Female,0,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,0,5,2,5,3,1,0.0,0.5694444444444444,0.6669473684210526,0.30422280701754384,0,Low
Female,0,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,0,0,1,0,1,0,0.0,0.3055555555555556,0.16968421052631577,0.12560350877192983,1,Low
Male,0,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,0,2,4,2,3,1,1.0,0.8611111111111112,0.6724210526315789,0.8928175438596491,0,High
Male,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,0,1,5,1,2,1,1.0,0.9861111111111112,0.41305263157894734,0.8784438596491229,0,High
Female,0,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,0,0,1,0,1,0,0.3,0.2777777777777778,0.17178947368421052,0.2676912280701754,0,Low
Male,1,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099.0,0,5,1,5,4,0,0.0,0.11111111111111116,0.9397894736842105,0.22129122807017546,1,Low
Male,0,Yes,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,0,0,1,0,1,1,0.0,0.13888888888888884,0.20421052631578948,0.08250877192982456,0,Low
Female,0,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,0,3,5,3,3,1,1.0,0.9583333333333334,0.5431578947368421,0.8961315789473684,0,High
Female,1,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,0,5,1,5,4,1,0.3,0.2222222222222222,0.9305263157894736,0.40277192982456145,0,Medium
Female,0,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,0,1,2,1,2,1,0.3,0.36111111111111116,0.4686315789473684,0.3520596491228071,0,Low
Female,0,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,0,2,4,2,2,0,1.0,0.8888888888888888,0.46021052631578946,0.8587087719298245,1,High
Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,0,4,2,4,3,0,1.0,0.5833333333333333,0.6294736842105263,0.8008947368421052,0,Medium
Female,0,Yes,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,1216.6,0,0,2,0,1,0,0.3,0.375,0.21810526315789472,0.3061210526315789,0,Low
Female,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,1,1,5,1,3,1,1.0,0.9861111111111112,0.6682105263157895,0.9294754385964913,0,High
Female,0,Yes,Yes,11,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,0,3,4,3,2,1,1.0,0.8472222222222222,0.4256842105263158,0.8393035087719298,0,High
Female,0,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,1,1,4,1,3,0,1.0,0.9027777777777778,0.632842105263158,0.8974017543859649,1,High
Female,0,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,0,5,2,5,4,0,1.0,0.41666666666666663,0.8741052631578947,0.799821052631579,0,Medium
Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,0,0,1,0,1,0,0.0,0.3194444444444444,0.16968421052631577,0.12977017543859648,0,Low
Male,0,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,0,3,4,3,4,0,1.0,0.875,0.8362105263157894,0.9297421052631578,0,High
Female,0,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,0,2,2,2,3,1,0.3,0.5138888888888888,0.5233684210526316,0.40884035087719295,0,Medium
Female,0,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,1057.0,0,0,2,0,1,1,0.0,0.33333333333333337,0.17389473684210524,0.13477894736842105,0,Low
Female,0,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,927.1,0,0,2,0,1,1,0.0,0.36111111111111116,0.16799999999999998,0.14193333333333336,0,Low
Male,0,Yes,No,29,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,0,1,2,1,2,0,1.0,0.5972222222222222,0.28421052631578947,0.7360087719298246,0,Medium
Male,0,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,0,2,2,2,3,0,1.0,0.5833333333333333,0.6909473684210526,0.8131894736842105,0,Medium
Male,1,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,74.7,0,1,5,1,3,1,1.0,0.9861111111111112,0.6290526315789474,0.9216438596491229,0,High
Male,0,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,5714.25,0,5,1,5,3,1,0.0,0.08333333333333337,0.7073684210526315,0.16647368421052633,0,Low
Female,0,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,0,5,1,5,4,1,1.0,0.09722222222222221,0.9351578947368421,0.7161982456140351,0,Medium
Male,0,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,0,4,1,4,4,1,0.0,0.0,0.8496842105263158,0.16993684210526316,0,Low
Female,0,No,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,1,1,4,1,3,0,1.0,0.8333333333333334,0.6648421052631579,0.8829684210526316,1,High
Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.85,4748.7,0,3,1,3,3,1,0.3,0.01388888888888884,0.5629473684210525,0.26675614035087714,0,Low
Male,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,1,0,5,0,1,0,1.0,0.9305555555555556,0.17726315789473684,0.8146192982456141,0,Medium
Male,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.0,1107.2,0,0,1,0,1,0,0.0,0.2777777777777778,0.17684210526315788,0.1187017543859649,0,Low
Female,1,Yes,No,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,1,4,2,4,4,0,1.0,0.6527777777777778,0.8294736842105264,0.8617280701754386,0,High
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.2,20.2,0,0,5,0,1,0,1.0,0.9861111111111112,0.17010526315789473,0.8298543859649123,0,High
Female,0,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.45,19.45,0,0,5,0,1,1,1.0,0.9861111111111112,0.1637894736842105,0.8285912280701755,0,High
Male,0,No,No,38,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),95.0,3605.6,0,3,2,3,4,0,0.3,0.4722222222222222,0.8,0.45166666666666666,0,Medium
Female,1,Yes,No,66,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),45.55,3027.25,0,3,1,3,2,1,0.3,0.08333333333333337,0.383578947368421,0.2517157894736842,0,Low
Male,0,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611.85,1,5,1,5,4,1,0.0,0.05555555555555558,0.9263157894736842,0.20192982456140351,1,Low
Male,0,No,No,5,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.3,100.2,0,0,5,0,1,0,1.0,0.9305555555555556,0.20463157894736841,0.8200929824561404,0,Medium
Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,104.15,7303.05,0,4,1,4,4,0,0.3,0.0,0.8770526315789474,0.3254105263157895,0,Low
Female,0,No,No,32,No,No phone service,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,30.15,927.65,0,1,2,1,2,1,0.3,0.5555555555555556,0.25389473684210523,0.3674456140350877,0,Low
Male,0,No,No,43,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,94.35,3921.3,0,2,2,2,4,0,0.3,0.4027777777777778,0.7945263157894736,0.42973859649122803,0,Medium
Male,0,Yes,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.4,1363.25,0,0,1,0,1,0,0.0,0.0,0.16336842105263158,0.03267368421052632,1,Low
Male,0,Yes,No,55,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,5238.9,1,3,1,3,4,0,1.0,0.23611111111111116,0.8147368421052632,0.7337807017543859,0,Medium
Female,0,No,No,52,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),57.95,3042.25,0,3,1,3,2,0,0.3,0.2777777777777778,0.48800000000000004,0.33093333333333336,0,Low
Female,0,No,No,43,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,91.65,3954.1,0,3,2,3,4,1,1.0,0.4027777777777778,0.7717894736842106,0.7751912280701755,0,Medium
Female,1,Yes,No,37,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.5,2868.15,1,0,2,0,3,1,1.0,0.48611111111111116,0.6442105263157895,0.7746754385964912,1,Medium
Female,0,Yes,Yes,64,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,54.6,3423.5,0,4,1,4,2,1,0.0,0.11111111111111116,0.4597894736842105,0.12529122807017545,0,Low
Male,0,Yes,Yes,3,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,89.85,248.4,0,3,5,3,3,1,1.0,0.9583333333333334,0.7566315789473683,0.9388263157894736,0,High
Female,0,No,No,36,No,No phone service,DSL,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),31.05,1126.35,0,1,2,1,2,1,0.0,0.5,0.2614736842105263,0.20229473684210525,0,Low
