gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,TotalServices,Recency_score,Frequency_score,Monetary_score,treatment,contract_score,tenure_norm,charge_norm,persuadability,churn_observed,persuadability_bin,churn_risk,uplift_score
Male,1,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,0,3,5,3,4,0,1.0,0.9722222222222222,0.8042105263157895,0.9525087719298244,0,High,51.09749,0.28168282
Female,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,0,4,2,4,3,0,0.3,0.625,0.5570526315789475,0.4489105263157895,0,Medium,14.108801,0.15005207
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,0,0,5,0,1,1,1.0,0.9861111111111112,0.1701052631578947,0.8298543859649123,0,High,20.019638,0.13038315
Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,0,0,5,0,2,1,1.0,0.9861111111111112,0.3810526315789473,0.8720438596491229,0,High,49.521847,0.0006823242
Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,0,4,1,4,4,1,0.0,0.0,0.8412631578947369,0.1682526315789474,0,Low,14.510779,-0.13412835
Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,1,0,5,0,3,0,1.0,0.9305555555555556,0.5869473684210527,0.8965561403508773,1,High,38.884468,0.03203267
Female,0,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,0,1,2,1,3,0,1.0,0.3611111111111111,0.6298947368421053,0.7343122807017545,0,Medium,17.035404,0.06626262
Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,1,4,2,4,4,1,1.0,0.5277777777777778,0.895578947368421,0.8374491228070176,0,High,35.557026,0.09548962
Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,1,3,4,3,4,0,1.0,0.8472222222222222,0.824,0.9189666666666668,1,High,56.174797,0.24966553
Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,0,1,4,1,2,0,0.3,0.8611111111111112,0.4172631578947368,0.4917859649122807,0,Medium,15.592752,0.12684307
Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,0,3,1,3,3,0,0.0,0.0277777777777777,0.5827368421052632,0.1248807017543859,0,Low,13.732497,0.032849215
Female,0,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,0,0,3,0,1,0,0.3,0.7638888888888888,0.1747368421052631,0.4141140350877192,0,Medium,12.736696,0.15902609
Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,0,5,1,5,3,1,0.0,0.125,0.6724210526315789,0.1719842105263158,0,Low,12.8902645,0.05899197
Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,0,4,3,4,3,0,1.0,0.8194444444444444,0.6416842105263159,0.8741701754385965,0,High,17.86905,0.046070352
Female,0,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,0,1,1,1,3,1,1.0,0.3194444444444444,0.7115789473684211,0.7381491228070176,0,Medium,34.19304,0.2674836
Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97.0,0,1,5,1,2,0,1.0,0.9722222222222222,0.4147368421052632,0.8746140350877193,0,High,34.20996,0.09587571
Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,1,1,5,1,3,1,1.0,0.9722222222222222,0.6791578947368422,0.927498245614035,1,High,50.64587,0.38766697
Male,0,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,0,4,1,4,3,1,0.0,0.2777777777777778,0.671578947368421,0.2176491228070175,1,Low,13.9325695,0.019504882
Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,0,3,1,3,3,0,0.0,0.0416666666666666,0.5402105263157895,0.1205421052631578,0,Low,12.073286,0.08660155
Female,1,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,0,2,2,2,4,1,1.0,0.4027777777777778,0.76,0.7728333333333334,0,Medium,28.594488,0.17326394
Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,1,4,3,4,4,1,1.0,0.7916666666666666,0.8345263157894737,0.9044052631578948,1,High,50.854958,-0.055341035
Female,1,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,0,3,2,3,3,1,1.0,0.6527777777777778,0.5852631578947368,0.8128859649122807,0,Medium,17.365057,0.19933203
Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,1,1,4,1,3,1,1.0,0.8888888888888888,0.6791578947368422,0.902498245614035,0,High,33.20351,0.38434637
Female,1,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,0,5,1,5,3,1,0.3,0.1666666666666666,0.6303157894736842,0.3260631578947368,0,Low,20.366852,0.101500705
Male,1,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,1,2,3,2,4,1,1.0,0.75,0.8037894736842105,0.8857578947368421,1,High,42.62956,-0.12146646
Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,0,3,1,3,4,0,0.3,0.125,0.8391578947368421,0.3553315789473684,1,Low,21.84181,0.26497063
Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,0,5,1,5,4,0,0.3,0.0833333333333333,0.9132631578947368,0.3576526315789474,0,Low,20.784006,0.12978506
Female,0,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,0,0,2,0,1,0,0.0,0.5277777777777778,0.2101052631578947,0.2003543859649122,0,Low,8.538997,0.036656313
Female,0,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,0,4,1,4,4,0,0.0,0.0,0.9052631578947368,0.1810526315789473,1,Low,27.904003,0.3380746
Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,0,3,2,3,4,0,1.0,0.3472222222222222,0.8463157894736842,0.7734298245614035,0,Medium,41.428555,0.3452198
Male,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,0,2,1,2,3,0,1.0,0.1666666666666666,0.7570526315789474,0.7014105263157895,0,Medium,22.994406,0.14852297
Male,0,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962.0,0,3,1,3,2,1,0.0,0.0,0.3545263157894737,0.0709052631578947,0,Low,14.296277,-0.023367107
Female,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,0,2,3,2,2,0,0.3,0.75,0.4581052631578947,0.4666210526315789,0,Medium,19.815577,0.14145118
Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,1,2,4,2,4,0,1.0,0.875,0.7949473684210526,0.9214894736842104,1,High,47.429237,0.230661
Female,0,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,0,4,5,4,3,1,1.0,0.9583333333333334,0.6341052631578947,0.9143210526315788,0,High,26.215796,0.050015524
Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,0,1,2,1,3,0,0.3,0.3472222222222222,0.664421052631579,0.3870508771929825,0,Medium,19.881817,0.05098678
Female,0,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,0,5,2,5,3,1,0.0,0.5694444444444444,0.6669473684210526,0.3042228070175438,0,Low,10.457065,0.06112209
Female,0,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,0,0,1,0,1,0,0.0,0.3055555555555556,0.1696842105263157,0.1256035087719298,1,Low,11.246618,0.09125558
Male,0,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,0,2,4,2,3,1,1.0,0.8611111111111112,0.6724210526315789,0.8928175438596491,0,High,26.332441,0.2661898
Male,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,0,1,5,1,2,1,1.0,0.9861111111111112,0.4130526315789473,0.8784438596491229,0,High,28.372215,0.23334594
Female,0,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,0,0,1,0,1,0,0.3,0.2777777777777778,0.1717894736842105,0.2676912280701754,0,Low,15.575073,0.116585694
Male,1,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099.0,0,5,1,5,4,0,0.0,0.1111111111111111,0.9397894736842104,0.2212912280701754,1,Low,25.167429,0.44897214
Male,0,Yes,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,0,0,1,0,1,1,0.0,0.1388888888888888,0.2042105263157894,0.0825087719298245,0,Low,11.799542,0.18810403
Female,0,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,0,3,5,3,3,1,1.0,0.9583333333333334,0.5431578947368421,0.8961315789473684,0,High,20.741295,0.30941883
Female,1,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,0,5,1,5,4,1,0.3,0.2222222222222222,0.9305263157894736,0.4027719298245614,0,Medium,27.51221,0.14222777
Female,0,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,0,1,2,1,2,1,0.3,0.3611111111111111,0.4686315789473684,0.3520596491228071,0,Low,18.315372,0.13983901
Female,0,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,0,2,4,2,2,0,1.0,0.8888888888888888,0.4602105263157894,0.8587087719298245,1,High,28.396248,0.30665094
Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,0,4,2,4,3,0,1.0,0.5833333333333333,0.6294736842105263,0.8008947368421052,0,Medium,25.444427,0.06143543
Female,0,Yes,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,1216.6,0,0,2,0,1,0,0.3,0.375,0.2181052631578947,0.3061210526315789,0,Low,18.91723,0.12008782
Female,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,1,1,5,1,3,1,1.0,0.9861111111111112,0.6682105263157895,0.9294754385964912,0,High,53.705032,0.30478615
Female,0,Yes,Yes,11,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,0,3,4,3,2,1,1.0,0.8472222222222222,0.4256842105263158,0.8393035087719298,0,High,20.626297,0.16082595
Female,0,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,1,1,4,1,3,0,1.0,0.9027777777777778,0.632842105263158,0.8974017543859649,1,High,36.8555,0.17988953
Female,0,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,0,5,2,5,4,0,1.0,0.4166666666666666,0.8741052631578947,0.799821052631579,0,Medium,29.49187,0.04325129
Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,0,0,1,0,1,0,0.0,0.3194444444444444,0.1696842105263157,0.1297701754385964,0,Low,10.894072,0.040694743
Male,0,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,0,3,4,3,4,0,1.0,0.875,0.8362105263157894,0.9297421052631578,0,High,43.493782,0.23177889
Female,0,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,0,2,2,2,3,1,0.3,0.5138888888888888,0.5233684210526316,0.4088403508771929,0,Medium,17.246723,0.11529189
Female,0,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,1057.0,0,0,2,0,1,1,0.0,0.3333333333333333,0.1738947368421052,0.134778947368421,0,Low,7.879338,0.03892488
Female,0,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,927.1,0,0,2,0,1,1,0.0,0.3611111111111111,0.1679999999999999,0.1419333333333333,0,Low,8.973731,0.07726345
Male,0,Yes,No,29,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,0,1,2,1,2,0,1.0,0.5972222222222222,0.2842105263157894,0.7360087719298246,0,Medium,20.332644,0.100857906
Male,0,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,0,2,2,2,3,0,1.0,0.5833333333333333,0.6909473684210526,0.8131894736842105,0,Medium,23.731298,0.10130939
Male,1,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,74.7,0,1,5,1,3,1,1.0,0.9861111111111112,0.6290526315789474,0.9216438596491228,0,High,44.438187,0.27241674
Male,0,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,5714.25,0,5,1,5,3,1,0.0,0.0833333333333333,0.7073684210526315,0.1664736842105263,0,Low,12.9140835,0.027459174
Female,0,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,0,5,1,5,4,1,1.0,0.0972222222222222,0.935157894736842,0.7161982456140351,0,Medium,30.586788,0.6772924
Male,0,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,0,4,1,4,4,1,0.0,0.0,0.8496842105263158,0.1699368421052631,0,Low,14.163892,-0.0686139
Female,0,No,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,1,1,4,1,3,0,1.0,0.8333333333333334,0.6648421052631579,0.8829684210526316,1,High,32.072136,0.18127571
Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.85,4748.7,0,3,1,3,3,1,0.3,0.0138888888888888,0.5629473684210525,0.2667561403508771,0,Low,11.460981,0.04301752
Male,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,1,0,5,0,1,0,1.0,0.9305555555555556,0.1772631578947368,0.8146192982456141,0,Medium,13.419093,-0.054231703
Male,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.0,1107.2,0,0,1,0,1,0,0.0,0.2777777777777778,0.1768421052631578,0.1187017543859649,0,Low,14.75319,-0.05017717
Female,1,Yes,No,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,1,4,2,4,4,0,1.0,0.6527777777777778,0.8294736842105264,0.8617280701754386,0,High,36.965694,0.1429337
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.2,20.2,0,0,5,0,1,0,1.0,0.9861111111111112,0.1701052631578947,0.8298543859649123,0,High,19.50279,0.2462397
Female,0,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.45,19.45,0,0,5,0,1,1,1.0,0.9861111111111112,0.1637894736842105,0.8285912280701755,0,High,30.876642,0.07975502
Male,0,No,No,38,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),95.0,3605.6,0,3,2,3,4,0,0.3,0.4722222222222222,0.8,0.4516666666666666,0,Medium,13.967106,0.09384639
Female,1,Yes,No,66,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),45.55,3027.25,0,3,1,3,2,1,0.3,0.0833333333333333,0.383578947368421,0.2517157894736842,0,Low,22.927547,0.0017564446
Male,0,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611.85,1,5,1,5,4,1,0.0,0.0555555555555555,0.9263157894736842,0.2019298245614035,1,Low,37.289265,0.09249225
Male,0,No,No,5,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.3,100.2,0,0,5,0,1,0,1.0,0.9305555555555556,0.2046315789473684,0.8200929824561404,0,Medium,27.228046,0.18281937
